# NAME: z-high_grating.txt
# DATE: 17/07/2019 16:19:08BST
# TYPE: Emissivity estimate for the Grating
# VERSION: 1.0
# ORIGIN: Transmission.xlsx
# AUTHOR: Fraser Clarke
# LAST MODIFIED: 2018-07-09T11:55:37Z
# GRATING: z R=18000
# 
# Wavelength[um],emissivity
0.450,1.0000e+00
0.475,1.0000e+00
0.500,1.0000e+00
0.525,1.0000e+00
0.550,1.0000e+00
0.575,1.0000e+00
0.600,1.0000e+00
0.625,1.0000e+00
0.650,1.0000e+00
0.675,1.0000e+00
0.700,1.0000e+00
0.725,1.0000e+00
0.750,1.0000e+00
0.775,1.0000e+00
0.800,1.0000e+00
0.825,3.0196e-01
0.850,1.7845e-01
0.875,1.7185e-01
0.900,2.3592e-01
0.925,1.0000e+00
0.950,1.0000e+00
0.975,1.0000e+00
1.000,1.0000e+00
1.025,1.0000e+00
1.050,1.0000e+00
1.075,1.0000e+00
1.100,1.0000e+00
1.125,1.0000e+00
1.150,1.0000e+00
1.175,1.0000e+00
1.200,1.0000e+00
1.225,1.0000e+00
1.250,1.0000e+00
1.275,1.0000e+00
1.300,1.0000e+00
1.325,1.0000e+00
1.350,1.0000e+00
1.375,1.0000e+00
1.400,1.0000e+00
1.425,1.0000e+00
1.450,1.0000e+00
1.475,1.0000e+00
1.500,1.0000e+00
1.525,1.0000e+00
1.550,1.0000e+00
1.575,1.0000e+00
1.600,1.0000e+00
1.625,1.0000e+00
1.650,1.0000e+00
1.675,1.0000e+00
1.700,1.0000e+00
1.725,1.0000e+00
1.750,1.0000e+00
1.775,1.0000e+00
1.800,1.0000e+00
1.825,1.0000e+00
1.850,1.0000e+00
1.875,1.0000e+00
1.900,1.0000e+00
1.925,1.0000e+00
1.950,1.0000e+00
1.975,1.0000e+00
2.000,1.0000e+00
2.025,1.0000e+00
2.050,1.0000e+00
2.075,1.0000e+00
2.100,1.0000e+00
2.125,1.0000e+00
2.150,1.0000e+00
2.175,1.0000e+00
2.200,1.0000e+00
2.225,1.0000e+00
2.250,1.0000e+00
2.275,1.0000e+00
2.300,1.0000e+00
2.325,1.0000e+00
2.350,1.0000e+00
2.375,1.0000e+00
2.400,1.0000e+00
2.425,1.0000e+00
2.450,1.0000e+00
